Input, Context, Output
What is the primary purpose of patronage by the European Parliament?, [Patronage is a form of moral support. No financial undertaking nor material obligation are linked to the granting of patronage.]; [Patronage is granted by decision of the President of the Parliament to events that meet the conditions laid down in these rules.]; [Patronage is a way for Parliament to associate itself with a selected number of events which satisfy the conditions for eligibility in order to increase public interest in; and visibility of; its activities and those of the European Union among citizens; the media and civil society.]; [Patronage shall only be granted to specific and confirmed events.]; [Requests for patronage shall be submitted to the President preferably through the web form or by email or by post.], Patronage is a way for Parliament to associate itself with a selected number of events which satisfy the conditions for eligibility in order to increase public interest in; and visibility of; its activities and those of the European Union among citizens; the media and civil society.
Who grants the patronage for events that meet the conditions laid down in the rules?, [Patronage is a way for Parliament to associate itself with a selected number of events which satisfy the conditions for eligibility in order to increase public interest in; and visibility of; its activities and those of the European Union among citizens; the media and civil society.]; [The President of the Parliament grants patronage to events that meet the conditions laid down in these rules.]; [Patronage is a form of moral support. No financial undertaking nor material obligation are linked to the granting of patronage.]; [Requests for patronage shall contain general information on the organiser.]; [The Directorate-General for Communication shall be responsible for processing patronage requests and drafting a proposed response.], The President of the Parliament grants patronage to events that meet the conditions laid down in these rules.
What are the characteristics that events must have to receive particular attention for patronage?, [Patronage is a form of moral support. No financial undertaking nor material obligation are linked to the granting of patronage.]; [Events must have a clear European dimension; high quality; and significant outreach to be eligible for patronage.]; [Particular attention shall be given to events that include one or more of the following characteristics: raising awareness of European parliamentary democracy and fostering active European citizenship, promoting fundamental rights; gender equality and non-discrimination, promoting social inclusion, organised by; or aimed at; the youth community, counting a fair gender diversity in panels and among speakers, supported by Members of the Parliament.]; [Requests for patronage shall be submitted to the President preferably through the web form or by email or by post.]; [Patronage is granted by decision of the President of the Parliament to events that meet the conditions laid down in these rules.], Particular attention shall be given to events that include one or more of the following characteristics: raising awareness of European parliamentary democracy and fostering active European citizenship, promoting fundamental rights; gender equality and non-discrimination, promoting social inclusion, organised by; or aimed at; the youth community, counting a fair gender diversity in panels and among speakers, supported by Members of the Parliament.
Under what conditions can the President withdraw the patronage from an event?, [If the conditions of eligibility are no longer met by an event for which patronage has been granted; the President may withdraw the decision to grant patronage to an event.]; [Patronage is a form of moral support. No financial undertaking nor material obligation are linked to the granting of patronage.]; [Patronage is a way for Parliament to associate itself with a selected number of events which satisfy the conditions for eligibility in order to increase public interest in; and visibility of; its activities and those of the European Union among citizens; the media and civil society.]; [The President of the Parliament grants patronage to events that meet the conditions laid down in these rules.]; [Requests for patronage shall be submitted to the President preferably through the web form or by email or by post.], If the conditions of eligibility are no longer met by an event for which patronage has been granted; the President may withdraw the decision to grant patronage to an event.
What type of events is ineligible for patronage?, [An event shall not be eligible for patronage if its organisers or the event itself undermine the basic democratic values; principles and rights set out in the Treaties or in the Charter of Fundamental Rights of the European Union; or undermine the dignity of the European Parliament, if it has a commercial nature or purpose and aims at advertising or promoting brands and/or commercial activities, if it is of a party-political nature, or if it has a religious nature or purpose related to the practice of a particular religion or belief.]; [Particular attention shall be given to events that include one or more of the following characteristics: raising awareness of European parliamentary democracy and fostering active European citizenship.]; [The President of the Parliament grants patronage to events that meet the conditions laid down in these rules.]; [Patronage is a form of moral support. No financial undertaking nor material obligation are linked to the granting of patronage.]; [Patronage is a way for Parliament to associate itself with a selected number of events which satisfy the conditions for eligibility in order to increase public interest in; and visibility of; its activities and those of the European Union among citizens; the media and civil society.], An event shall not be eligible for patronage if its organisers or the event itself undermine the basic democratic values; principles and rights set out in the Treaties or in the Charter of Fundamental Rights of the European Union; or undermine the dignity of the European Parliament, if it has a commercial nature or purpose and aims at advertising or promoting brands and/or commercial activities, if it is of a party-political nature, or if it has a religious nature or purpose related to the practice of a particular religion or belief.
What information must be included in requests for patronage?, [Requests for patronage shall contain general information on the organiser; information on the event(s); communication activities concerning the event and visibility of the European Parliament’s patronage; the details of any putative or confirmed partners and/or patrons; any other relevant information supporting the request for patronage; and the express agreement to comply with the applicable provisions laid down under the rules governing patronage.]; [Patronage is a form of moral support. No financial undertaking nor material obligation are linked to the granting of patronage.]; [The President of the Parliament grants patronage to events that meet the conditions laid down in these rules.]; [Particular attention shall be given to events that include one or more of the following characteristics: raising awareness of European parliamentary democracy and fostering active European citizenship.]; [Patronage is a way for Parliament to associate itself with a selected number of events which satisfy the conditions for eligibility in order to increase public interest in; and visibility of; its activities and those of the European Union among citizens; the media and civil society.], Requests for patronage shall contain general information on the organiser; information on the event(s); communication activities concerning the event and visibility of the European Parliament’s patronage; the details of any putative or confirmed partners and/or patrons; any other relevant information supporting the request for patronage; and the express agreement to comply with the applicable provisions laid down under the rules governing patronage.
What is the duration of patronage granted to an event?, [Patronage is granted to an individual event and only for the duration of the event.]; [The President of the Parliament grants patronage to events that meet the conditions laid down in these rules.]; [Patronage is a form of moral support. No financial undertaking nor material obligation are linked to the granting of patronage.]; [Requests for patronage shall contain general information on the organiser; information on the event(s); communication activities concerning the event and visibility of the European Parliament’s patronage.]; [Particular attention shall be given to events that include one or more of the following characteristics: raising awareness of European parliamentary democracy and fostering active European citizenship.], Patronage is granted to an individual event and only for the duration of the event.
Under what circumstances can a single request for patronage be presented for a series of similar events?, [Without prejudice to the previous paragraph; a single request for patronage can be presented in case of a series of similar events organised within a single initiative by the same organiser(s) in the same or in different locations and taking place simultaneously or within a short interval. All the events have to have the same format and objectives; and the supporting information listed in article 3.2 for each one of the events shall be included in the request. Each event shall meet all the conditions of eligibility laid down in these rules.]; [Patronage is granted to an individual event and only for the duration of the event.]; [The President of the Parliament grants patronage to events that meet the conditions laid down in these rules.]; [Particular attention shall be given to events that include one or more of the following characteristics: raising awareness of European parliamentary democracy and fostering active European citizenship.]; [Requests for patronage shall contain general information on the organiser; information on the event(s); communication activities concerning the event and visibility of the European Parliament’s patronage.], A single request for patronage can be presented in case of a series of similar events organised within a single initiative by the same organiser(s) in the same or in different locations and taking place simultaneously or within a short interval. All the events have to have the same format and objectives; and the supporting information listed in article 3.2 for each one of the events shall be included in the request. Each event shall meet all the conditions of eligibility laid down in these rules.
Who is responsible for processing patronage requests and drafting a proposed response?, [The Directorate-General for Communication shall be responsible for processing patronage requests and drafting a proposed response.]; [The President of the Parliament grants patronage to events that meet the conditions laid down in these rules.]; [Patronage is a form of moral support. No financial undertaking nor material obligation are linked to the granting of patronage.]; [Requests for patronage shall contain general information on the organiser; information on the event(s); communication activities concerning the event and visibility of the European Parliament’s patronage.]; [Particular attention shall be given to events that include one or more of the following characteristics: raising awareness of European parliamentary democracy and fostering active European citizenship.], The Directorate-General for Communication shall be responsible for processing patronage requests and drafting a proposed response.
What must events benefitting from patronage include in their communication material during the 12 months before the European election?, [Events benefitting from patronage taking place during the 12 months before the European election shall include in the communication material a reference to the European election and its date.]; [Patronage is granted to an individual event and only for the duration of the event.]; [Patronage is a form of moral support. No financial undertaking nor material obligation are linked to the granting of patronage.]; [The President of the Parliament grants patronage to events that meet the conditions laid down in these rules.]; [Requests for patronage shall contain general information on the organiser; information on the event(s); communication activities concerning the event and visibility of the European Parliament’s patronage.], Events benefitting from patronage taking place during the 12 months before the European election shall include in the communication material a reference to the European election and its date.
